Modèle,Kilométrage,Année,Boîte,Carburant,Puissance fiscale,Prix
Hyundai ix35,160 000 km,2016,Automatique,Diesel,11 cv,66 500 DT
Volkswagen Polo Sedan,170 000 km,2020,Manuelle,Essence,5 cv,41 800 DT
Mercedes-Benz Classe A,180 000 km,2014,Automatique,Essence,6 cv,68 500 DT
BMW Série 1,18 000 km,2022,Automatique,Essence,6 cv,125 000 DT
Ford Kuga Titanium Plus,115 000 km,2018,Automatique,Essence,11 cv,76 000 DT
Mercedes-Benz Classe E,298 000 km,2006,Automatique,Diesel,10 cv,47 500 DT
Mercedes-Benz Classe C,7 300 km,2022,Automatique,Essence,9 cv,230 000 DT
Fiat 500 Cult Club,3 000 km,2023,Automatique,Essence,5 cv,62 000 DT
Mercedes-Benz Classe A AMG,60 000 km,2021,Automatique,Essence,7 cv,115 000 DT
Volkswagen Scirocco,200 000 km,2010,Manuelle,Essence,7 cv,40 000 DT
Hyundai Tucson,81 000 km,2018,Automatique,Diesel,10 cv,100 000 DT
Land Rover Discovery,110 000 km,2016,Automatique,Essence,15 cv,125 000 DT
Hyundai Tucson Hybride Top Grade,16 000 km,2023,Automatique,Diesel,7 cv,178 000 DT
Peugeot 508,145 000 km,2018,Automatique,Essence,7 cv,51 000 DT
Mercedes-Benz Classe C coupé AMG,120 000 km,2019,Automatique,Essence,8 cv,145 000 DT
Porsche Cayenne,158 000 km,2015,Automatique,Essence,31 cv,220 000 DT
BMW Série 3,210 000 km,2015,Automatique,Essence,7 cv,67 000 DT
Mercedes-Benz Classe C,180 000 km,2013,Automatique,Essence,9 cv,66 000 DT
Renault Kadjar,98 000 km,2021,Automatique,Essence,7 cv,83 000 DT
Land Rover Range Rover Sport,208 000 km,2007,Automatique,Diesel,13 cv,85 000 DT
Audi Q3,40 000 km,2023,Automatique,Hybride,8 cv,200 000 DT
KIA Sportage GT-Line,140 000 km,2018,Automatique,Diesel,10 cv,118 000 DT
Great Wall M4,99 000 km,2019,Manuelle,Essence,6 cv,41 800 DT
Ford Mustang,57 000 km,2017,Automatique,Essence,21 cv,160 000 DT
MG ZS Luxe,23 500 km,2022,Automatique,Essence,7 cv,77 000 DT
Chery Tiggo 3X Luxury,62 000 km,2021,Automatique,Essence,6 cv,56 000 DT
Mazda 2,142 000 km,2016,Manuelle,Essence,6 cv,36 500 DT
