Modèle,Kilométrage,Année,Boîte,Carburant,Puissance fiscale,Prix
Mercedes-Benz Classe C AMG,34 800 km,2021,Automatique,Hybride,10 cv,205 000 DT
KIA Rio 5p,99 000 km,2018,Manuelle,Essence,5 cv,50 000 DT
Volvo XC60 R,165 000 km,2011,Automatique,Essence,13 cv,44 500 DT
Volkswagen Polo Ambition,63 000 km,2022,Manuelle,Essence,4 cv,53 000 DT
Volkswagen Golf 8 GTE,14 200 km,2024,Automatique,Hybride,8 cv,146 000 DT
Hyundai Grand i10,115 000 km,2022,Manuelle,Essence,5 cv,39 700 DT
Great Wall M4,75 000 km,2021,Manuelle,Essence,6 cv,44 000 DT
Porsche Cayenne Coupé,71 000 km,2020,Automatique,Essence,23 cv,370 000 DT
Haval Jolion,65 000 km,2021,Automatique,Essence,9 cv,84 000 DT
Peugeot Partner 650 Kg,200 000 km,2016,Manuelle,Diesel,5 cv,40 000 DT
Toyota Agya Comfort,92 000 km,2021,Automatique,Essence,5 cv,37 500 DT
Volkswagen Caddy Prestige,115 000 km,2020,Manuelle,Diesel,5 cv,49 500 DT
KIA Rio 5p GX,97 000 km,2022,Manuelle,Essence,5 cv,49 500 DT
Chevrolet Suburban,170 000 km,2007,Automatique,Essence,31 cv,88 000 DT
Geely GX3,90 000 km,2022,Manuelle,Essence,6 cv,53 000 DT
Citroën C3 Shine,120 000 km,2019,Manuelle,Essence,5 cv,36 500 DT
Volkswagen Polo,67 000 km,2021,Manuelle,Essence,4 cv,49 500 DT
KIA Rio 5p GT-Line,72 000 km,2021,Manuelle,Essence,5 cv,63 000 DT
Jeep Renegade Limited,85 000 km,2021,Manuelle,Essence,8 cv,86 000 DT
Skoda Octavia Confort,95 000 km,2019,Automatique,Essence,8 cv,63 000 DT
Fiat 500X,190 000 km,2015,Manuelle,Essence,8 cv,44 000 DT
BMW Série 4 Gran Coupé,93 000 km,2020,Automatique,Essence,7 cv,97 000 DT
Great Wall M4 Comfort,90 000 km,2021,Manuelle,Essence,6 cv,49 500 DT
Renault Clio Life Plus,95 000 km,2022,Manuelle,Essence,5 cv,49 500 DT
Audi A5 Coupé,180 000 km,2009,Automatique,Essence,13 cv,53 000 DT
KIA Sportage SX,56 000 km,2022,Automatique,Essence,10 cv,120 000 DT
Volkswagen Passat R-Line DSG,19 400 km,2019,Automatique,Essence,8 cv,112 000 DT
Ford Ecosport Titanium Plus,100 000 km,2019,Automatique,Essence,7 cv,52 000 DT
Mercedes-Benz GLC Coupé 400e 4Matic AMG Premium Plus,20 000 km,2024,Automatique,Hybride,15 cv,395 000 DT
Skoda Kushaq Ambition,11 500 km,2024,Manuelle,Essence,6 cv,Sous leasing                    106 500 DT
Mercedes-Benz GLA AMG,43 000 km,2021,Automatique,Hybride,8 cv,179 000 DT
Audi A3 S-Line,128 000 km,2020,Manuelle,Essence,6 cv,76 000 DT
KIA Seltos,150 000 km,2021,Automatique,Essence,8 cv,83 000 DT
Volkswagen T-roc Importée Tn250,128 000 km,2021,Manuelle,Essence,6 cv,76 000 DT
Mercedes-Benz Classe C AMG +,158 000 km,2021,Automatique,Diesel,6 cv,119 000 DT
